row,date,left_speed,right_speed,left_velocity,right_velocity,accel_z,densityestimate,logdensityestimate
86,2026-06-11T11:27:12,35,35,380.3902587890625,239.24545288085938,0.9570,9.632894464529274e-12,-11.0162
87,2026-06-11T11:27:13,35,35,366.7396240234375,232.83468627929688,1.0776,3.187170898642199e-05,-4.49659
88,2026-06-11T11:27:14,35,35,375.0080261230469,244.6576385498047,1.0005,3.693069459777527e-08,-7.43261
89,2026-06-11T11:27:15,35,35,373.1998596191406,249.46514892578125,0.8735,7.294998521823037e-06,-5.13697
90,2026-06-11T11:27:16,35,35,375.3836364746094,243.24859619140625,1.0173,8.446739985859486e-11,-10.0733
91,2026-06-11T11:27:17,35,35,375.3521423339844,242.581298828125,1.0496,5.130069163346093e-07,-6.28988
92,2026-06-11T11:27:18,35,35,380.7680969238281,232.85818481445312,1.0496,2.8463423257562482e-06,-5.54571
93,2026-06-11T11:27:19,35,35,376.13555908203125,240.72674560546875,1.0188,1.714141636646382e-08,-7.76595
94,2026-06-11T11:27:20,35,35,375.79296875,250.19638061523438,1.0190,8.435121591540188e-07,-6.07391
95,2026-06-11T11:27:21,35,35,383.38720703125,252.25477600097656,0.8994,4.709696071289729e-06,-5.32701
96,2026-06-11T11:27:22,35,35,368.9018859863281,240.93592834472656,1.1714,2.4463229839533e-13,-12.6115
97,2026-06-11T11:27:23,250,250,3058.837646484375,2926.8447265625,0.7906,3.1843318013388334e-46,-45.497
98,2026-06-11T11:27:24,250,250,3712.160888671875,3480.40185546875,1.3726,2.8095435705839125e-56,-55.5514
99,2026-06-11T11:27:25,250,250,3722.199462890625,3488.249755859375,0.4961,7.416142743582238e-39,-38.1298
100,2026-06-11T11:27:26,250,250,3747.6865234375,3505.57763671875,1.4161,9.814253788143745e-65,-64.0081
101,2026-06-11T11:27:27,250,250,3721.21875,3483.71533203125,0.3845,9.22634165566219e-65,-64.035
102,2026-06-11T11:27:28,250,250,3741.040771484375,3498.58447265625,1.3341,8.576702297462646e-77,-76.0667
103,2026-06-11T11:27:29,250,250,3721.0380859375,3504.210693359375,0.8819,6.090523242067629e-72,-71.2153
104,2026-06-11T11:27:30,250,250,3700.648681640625,3520.47119140625,0.1050,1.173160818717337e-53,-52.9306
105,2026-06-11T11:27:31,-250,-250,-1887.7615966796875,-1969.7078857421875,0.5308,2.8978377710070074e-143,-142.538
106,2026-06-11T11:27:32,-250,-250,-3669.62744140625,-3670.628173828125,0.5821,1.6628301460541174e-74,-73.7792
107,2026-06-11T11:27:33,-250,-250,-3664.841552734375,-3649.87890625,1.3058,3.3943910008654773e-78,-77.4692
108,2026-06-11T11:27:34,-250,-250,-3677.01123046875,-3665.008056640625,0.4307,6.085696403374691e-70,-69.2157
109,2026-06-11T11:27:35,-250,-250,-3664.62255859375,-3657.623291015625,0.8619,9.038647417907999e-170,-169.044
110,2026-06-11T11:27:36,-250,-250,-3652.888671875,-3641.8828125,1.5609,7.353323430973936e-55,-54.1335
111,2026-06-11T11:27:37,-250,-250,-3665.104248046875,-3647.089111328125,1.5122,5.933913411928575e-52,-51.2267
112,2026-06-11T11:27:38,35,35,-675.836669921875,-713.8837890625,0.9962,7.464848017032922e-72,-71.127
113,2026-06-11T11:27:39,35,35,333.6239318847656,302.8431396484375,0.9799,1.0411118907118106e-11,-10.9825
